surname,names,hidden,
TALLIS,Thomas,
BYRD,William,
MONTEVERDI,Claudio,
GIBBONS,Orlando,
PACHELBEL,Johann,
VIVALDI,Antonio,
HANDEL,George Frideric,
BACH,Johann Sebastian,
BEETHOVEN,Ludwig van,
TCHAIKOVSKY,Piotr Ilyich,
GRIEG,Edvard,
RAVEL,Maurice,true
ROSSINI,Gioachino,
MOZART,Wolfgang Amadeus,
STRAUSS,Richard,true
WAGNER,Richard,
GERSHWIN,George,
RACHMANINOV,Sergei,
DUKAS,Paul,true
HOLST,Gustav
MENDELSSOHN,Felix
LISZT,Franz
IVES,Charles,true
FAURE,Gabriel,true
BRAHMS,Johannes,
SCHUBERT,Franz,
BRITTEN,Benjamin,
SCHUMANN,Clara,
SCHUMANN,Robert,
RIMSKY-KORSAKOV,Nikolai,true
VERDI,Giuseppe,
SAINT-SAENS,Camille,true
HAYDN,Joseph,
RESPIGHI,Ottorino,true
ELGAR,Edward,
JOPLIN,Scott,
VAUGHAN WILLIAMS,Ralph,
PROKOFIEV,Serge,
STRAVINSKY,Igor,
BERNSTEIN,Leonard,
PART,Arvo,
RUTTER,John,true
WILLIAMS,John
LAURIDSEN,Morten,true
PALESTRINA,Giovanni,
PURCELL,Henry,
CHOPIN,Frederic,
